content,create_date_time,liked_count,comments_count,shared_count,ip_location,gender
雪王高能量去桃园的一天🍑这桃子看着真好吃 #蜜雪冰城溯源# #蜜桃四季春# 蜜雪冰城 蜜雪冰城的微博视频 ,2025-03-22 18:00:01+08:00,57,20,4,河南,m
蜜雪冰城改成24小时营业，315之后就有护短学生提出这个建议，没想到蜜雪冰城真采纳，现在没有隔夜柠檬了，只有熬夜的柠檬。  #蜜雪冰城被曝黑料网友凭啥护短##蜜雪冰城改24小时营业# ,2025-03-18 16:19:38+08:00,1383,57,27,湖北,m
你们说， 蜜雪冰城被媒体咬住不放， 会不会是因为…… ,2025-03-22 07:20:51+08:00,1610,90,369,上海,m
蜜雪冰城做得很好… 但其他怎么没… ,2025-03-21 23:09:31+08:00,5835,237,112,北京,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 无论你们怎么麦通稿黑雪王，他都不会塌房，有群众基础在，315到现在这么久了，用315的名恶意抹黑雪王，315没提过半点，你们什么算盘不用说了吧。蜜雪冰城 萌萌哒红色小象的微博视频 ,2025-03-22 10:35:39+08:00,80,17,0,安徽,f
蜜雪冰城门店8代设计 ,2025-03-22 12:00:00+08:00,13,0,2,黑龙江,m
蜜雪冰城用过夜柠檬又怎么了呢？作为一具尸体，能吃上柠檬也算有营养了 ,2025-03-22 10:08:40+08:00,25,2,2,天津,m
门前一家蜜雪冰城貌似比以前更火了。 忍不住给玩伴们买了一兜子柠檬水，以及甜筒🍦 诶呀，有些人越是想打倒的，我就越是想挺它  蜜雪冰城#蜜雪冰城柠檬水# ,2025-03-22 17:48:42+08:00,12,4,1,河北,m
通过DeepSeek了解到了大家支持蜜雪冰城的原因主要有以下几点：  1. **价格亲民**      蜜雪冰城的产品价格较低，尤其适合预算有限的消费者，尤其是学生和年轻人。这种高性价比让它在市场中具有竞争力。  2. **产品多样**      蜜雪冰城提供丰富的饮品选择，如奶茶、果茶、冰淇淋等，满足了不同消费者的 ...全文,2025-03-22 09:42:29+08:00,7,108,0,山东,f
雪王的吸引力超强 在证券上这叫羊群效应 ,2025-03-22 19:48:02+08:00,33,3,0,陕西,m
恭喜这几位中了蜜雪冰城的朋友 ,2025-03-22 20:50:51+08:00,4,0,0,福建,f
我也是终于吃上了蜜雪冰城这个紫色甜筒尊嘟超好吃 ,2025-03-22 20:48:37+08:00,1,0,0,甘肃,m
一下午拍的密密麻麻密密麻麻，回去慢慢选 路口全是格格还有格格骑自行车🚲 没啥合影还衣服前恰一张 蜜雪冰城人多的要打起来了 铜锅好吃！ ,2025-03-22 20:48:25+08:00,0,0,0,北京,f
今晚庄寒雁真的好给力，真想带大家揭竿而起了呀，她拿着那个烛台的样子，还真的很像蜜雪冰城 ,2025-03-22 20:33:30+08:00,142,14,1,福建,f
你爱我我爱你蜜雪冰城甜蜜蜜ʕっ•ᴥ•ʔつ🍯🍯🍯 南通·平潮镇便民服务中心 ,2025-03-22 20:47:28+08:00,0,0,0,江苏,m
今天开心的三件小事 1.又培养了一个摄影搭子 2.蜜雪冰城小哥送了我一个甜筒 3.足浴的小姐姐说我的胳膊和背一看就是健身的，已经被好几个朋友和师妹说年轻了，问我是不是00后行，被夸美了 无锡·南禅寺 ,2025-03-22 20:46:03+08:00,0,0,0,江苏,f
终于不用喝蜜雪冰城了…… ,2025-03-22 20:45:43+08:00,0,0,0,湖北,m
昨天有条抽奖的微博被夹了，没法抽了。  所以，这里重新做一个抽奖博。  要求改成：①评论；②铁粉。  明晚8点开。  还是蜜雪小甜水，25杯。 ,2025-03-22 20:32:17+08:00,13,35,2,北京,m
蜜雪冰城的香芋味冰淇淋和小时候吃的顶喜香芋大甜筒一个味 ,2025-03-22 20:43:54+08:00,0,0,0,山东,f
#生活手记#最近天气很好 每天下班都可以看到日落 很美 很治愈 公司旁边就是麦当劳 明明是像往常一样回家 今天却很想吃薯条 麦当劳只有薯条是好吃的 但是量也是真的小 去买薯条时候我憋着小便 但还是被路边的小花吸引 它很小 小到我仔细看之前 都没发现它长得这么可爱 今天快乐的事情有很多 （比如我被 ...全文,2025-03-22 20:43:20+08:00,0,0,0,浙江,m
蜜雪家的圣代谁不吃谁后悔我就这么说吧 ,2025-03-22 20:42:56+08:00,0,1,0,河南,f
#一天喝了四杯奶茶#  回到家就只能喝蜜雪 上街随便逛逛买了两杯 临走时回家又买了两杯 现在吃完饭躺床上左手果茶 右手奶茶🧋 蜜雪我对你这么好 你拿什么还 ,2025-03-22 20:42:54+08:00,0,1,0,安徽,f
以前不买蜜雪冰城的，这么一看高低得买一杯,2025-03-22 20:42:38+08:00,0,0,0,上海,f
我这杯冰鲜柠檬水为啥只有2片柠檬啊#蜜雪冰城# ,2025-03-22 20:42:38+08:00,0,0,0,江西,m
蜜雪店里人比平常多，挺好，无耻的媒体开始输了。 ,2025-03-22 20:41:35+08:00,6,0,0,北京,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5433,184,153,四川,f
荣耀茶话会  （在隔壁发没有人，不知道这里有没有人）想问问老婆有没有多余的主线通的光夜号，突然想回游了，想看看剧情!请宝宝喝个蜜雪冰城的茉莉奶绿（6r）希望宝宝不介意的话，我可能会一直玩这个号，但是平时很忙，希望是无要求玩这个号，我是安卓的 ,2025-03-22 20:39:37+08:00,1,15,0,广东,f
很明显，那些疯狂撕咬的，就是冲着这个去的呗，要不然就🍋隔夜，至于么,2025-03-22 20:19:39+08:00,407,43,99,北京,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5433,184,153,四川,f
荣耀茶话会  （在隔壁发没有人，不知道这里有没有人）想问问老婆有没有多余的主线通的光夜号，突然想回游了，想看看剧情!请宝宝喝个蜜雪冰城的茉莉奶绿（6r）希望宝宝不介意的话，我可能会一直玩这个号，但是平时很忙，希望是无要求玩这个号，我是安卓的 ,2025-03-22 20:39:37+08:00,1,15,0,广东,f
很明显，那些疯狂撕咬的，就是冲着这个去的呗，要不然就🍋隔夜，至于么,2025-03-22 20:19:39+08:00,412,44,99,北京,m
一梦江湖 下午刷到有一位少侠跑了三家蜜雪冰城都没有找到香芋脆皮小圣代，一下子就被狠狠安利了！已尝试，敲好吃！适用于喜欢吃香芋味的少侠 ,2025-03-22 20:39:16+08:00,2,3,0,安徽,f
一下课就是香芋甜筒配KFC 我爱蜜雪冰城的香芋甜筒 不用上课啦 风都是甜的 养成了吃东西前先拍照 ,2025-03-22 20:38:25+08:00,0,0,0,安徽,f
刚路过楼下蜜雪冰城。我妈说装修好喜庆，像搞婚庆活动似的，坐里面像新娘👰。（这回答太出乎我的意料了，就是忘了拍一张） 哈哈哈 ,2025-03-22 20:38:24+08:00,0,0,0,陕西,f
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 无论你们怎么麦通稿黑雪王，他都不会塌房，有群众基础在，315到现在这么久了，用315的名恶意抹黑雪王，315没提过半点，你们什么算盘不用说了吧。蜜雪冰城 萌萌哒红色小象的微博视频 ,2025-03-22 10:35:39+08:00,80,17,0,安徽,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
蜜雪冰城给的真的越来越少了膨胀了啊小雪 ,2025-03-22 20:34:13+08:00,0,1,0,海南,f
我靠我真的爱上这个星巴克了，买星巴克总会不自觉地套上其他品牌的杯套，因为害怕我的购买频率让身边的人自卑进而产生距离感。低调一直是我们家的家训，我也十分讨厌让别人产生不适的情绪，所以一直用蜜雪冰城和瑞幸示人。直到有一天同学请大家喝星巴克，其他人都支支吾吾半天不知道该点什么，等到了我 ...全文,2025-03-22 20:32:25+08:00,0,0,0,河南,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
蜜雪冰城给的真的越来越少了膨胀了啊小雪 ,2025-03-22 20:34:13+08:00,0,1,0,海南,f
蜜雪冰城在焦作建了一个占地550亩的产业园区，名字还是很土——”大咖国际茶饮梦工厂”。  在这里，游客可以全程参观”糖奶茶咖果粮料”7大核心品类原料生产过程，可以看到在数字化智能车间里，工业机器人有序工作在产能数万吨的生产线上，质检工作人员“悠闲操作”，对机器的工作成果进行二次人工核验 ...全文,2025-03-22 07:05:16+08:00,140,15,40,上海,m
我靠我真的爱上这个星巴克了，买星巴克总会不自觉地套上其他品牌的杯套，因为害怕我的购买频率让身边的人自卑进而产生距离感。低调一直是我们家的家训，我也十分讨厌让别人产生不适的情绪，所以一直用蜜雪冰城和瑞幸示人。直到有一天同学请大家喝星巴克，其他人都支支吾吾半天不知道该点什么，等到了我 ...全文,2025-03-22 20:32:25+08:00,0,0,0,河南,f
回国要尽快做的事： 1，看哪吒2 2，给全家人买蜜雪冰城，然后艾特北京日报。 ,2025-03-22 18:43:31+08:00,46,11,1,上海,m
315我爱你#蜜雪冰城#315晚会#315曝光名单#食品安全#苏菲发声明 娱兮娱兮奈我何的微博视频 ,2025-03-22 20:32:14+08:00,2,0,0,江苏,f
古茗的袋子，沪上阿姨的被套和小料（杯子被店员换掉了），蜜雪冰城的奶茶，哈哈哈哈哈我这拼多多的人生 ,2025-03-22 20:32:07+08:00,0,0,0,贵州,f
对不起了李哥 我睡眠不好买不了霸王茶姬 请你下次喝喜茶或者COCO 喝蜜雪冰城柠檬水也行我买得起 #李胜利现身杭州# ,2025-03-22 20:32:00+08:00,1,0,0,山东,f
没事干，想着去蜜雪冰城兼职，结果两天半的时间自己做了两杯奶茶喝，被同事打小报告了，然后就被店长找了个理由辞退了 ,2025-03-22 20:21:58+08:00,22,6,0,山东,f
没有喝过蜜雪冰城，咨询小猫。 答：当然是一分钱一分货。可是这么便宜，你还要什么自行车？ 明白。  为了跟上潮流，最近买过茉莉茶，柠檬茶。 拎着柠檬茶进会议室的时候，95后同事恐吓我：风口浪尖上了，你还喝啊！ 我：必须滴。九折，3块6。 她嘻嘻笑：味道还不错哦。#蜜雪冰城#   核 ...全文,2025-03-22 20:31:08+08:00,1,2,0,江苏,f
可以换一种说法，然后代入一下。比如人人都喝得起蜜雪冰城，比如人人都喝得起星巴克。按余承东的说法，就是人人喝得起星巴克。但实际呢，还有一大部分人，星巴克的价格是不符合他们的消费观的。当然，我就是他们之一，我喝速溶的。,2025-03-22 20:29:08+08:00,0,0,0,福建,m
蜜雪冰城如果你敢下架香芋脆皮圣代糯米滋版 我就骂你一辈子 ,2025-03-22 20:28:56+08:00,0,0,0,河南,f
今天的坏心情是蜜雪冰城给的 So？我有点百香果吗？我的山楂莓莓去哪儿了？我请问呢？态度不好就算了 315也没跟你计较 自提当着我的面装都能给我装错 还漏装了 ,2025-03-22 20:28:46+08:00,0,2,0,浙江,f
啊啊啊啊啊误食了蜜雪冰城奥利奥圣代 ,2025-03-22 17:17:19+08:00,29,11,0,北京,f
溜着溜着突然想喝蜜雪冰城的满杯百香果，这肥减不了一点服了 ,2025-03-22 20:26:31+08:00,0,0,0,河北,f
妈妈给我带的甜瓜和西红柿还有煮的栗子，蹭的lyh她对象给她买的奶皮子和手抓饼哈哈哈（其实是今天下午骗我给她对象俩买的蜜雪冰城…然后给我买的奶皮子和饼） ,2025-03-22 20:26:00+08:00,0,0,0,山东,f
蜜雪冰城最不该把那个喝起来臭臭的绿茶下架了 ,2025-03-22 20:25:54+08:00,0,0,0,河南,f
我，想点一杯网上说的四块钱一杯有真柠檬片的柠檬水。  店员，其他地区四块，上海五块，就是菜单上的“冰鲜柠檬水”  我，好的好的，就点一杯这个，少冰少糖。 然后用了碰一碰支付，两元优惠立减，最后实际付款三元。  人生第一杯蜜雪冰城，心里默念“为了让柠檬片不隔夜，而点单” ...全文,2025-03-22 20:24:56+08:00,0,0,0,上海,f
那妳告诉我，我用AI创作的歌曲版权归谁？归AI吗？可是我已经付费使用AI了，相当于获得了使用AI创作的权限，在AI创作的基础上，我还可以继续二创，三创，四创....那你说说，我有没有这首歌的版权？其实一谈论到『版权』这两个字，无非就是在谈论『名利』。我说过，知识产权固然重要，但要用对地方 ...全文,2025-03-22 20:24:25+08:00,0,0,0,重庆,f
今天的坏心情是蜜雪冰城给的 So？我有点百香果吗？我的山楂莓莓去哪儿了？我请问呢？态度不好就算了 315也没跟你计较 自提当着我的面装都能给我装错 还漏装了 ,2025-03-22 20:28:46+08:00,0,2,0,浙江,f
啊啊啊啊啊误食了蜜雪冰城奥利奥圣代 ,2025-03-22 17:17:19+08:00,29,11,0,北京,f
溜着溜着突然想喝蜜雪冰城的满杯百香果，这肥减不了一点服了 ,2025-03-22 20:26:31+08:00,0,0,0,河北,f
妈妈给我带的甜瓜和西红柿还有煮的栗子，蹭的lyh她对象给她买的奶皮子和手抓饼哈哈哈（其实是今天下午骗我给她对象俩买的蜜雪冰城…然后给我买的奶皮子和饼） ,2025-03-22 20:26:00+08:00,0,0,0,山东,f
蜜雪冰城最不该把那个喝起来臭臭的绿茶下架了 ,2025-03-22 20:25:54+08:00,0,0,0,河南,f
我，想点一杯网上说的四块钱一杯有真柠檬片的柠檬水。  店员，其他地区四块，上海五块，就是菜单上的“冰鲜柠檬水”  我，好的好的，就点一杯这个，少冰少糖。 然后用了碰一碰支付，两元优惠立减，最后实际付款三元。  人生第一杯蜜雪冰城，心里默念“为了让柠檬片不隔夜，而点单” ...全文,2025-03-22 20:24:56+08:00,0,0,0,上海,f
那妳告诉我，我用AI创作的歌曲版权归谁？归AI吗？可是我已经付费使用AI了，相当于获得了使用AI创作的权限，在AI创作的基础上，我还可以继续二创，三创，四创....那你说说，我有没有这首歌的版权？其实一谈论到『版权』这两个字，无非就是在谈论『名利』。我说过，知识产权固然重要，但要用对地方 ...全文,2025-03-22 20:24:25+08:00,0,0,0,重庆,f
蜜雪冰城在我心里塌房了 ,2025-03-22 20:22:42+08:00,0,1,0,山东,m
蜜雪冰城还是一如既往的火爆 ,2025-03-22 20:21:51+08:00,0,1,0,浙江,f
幸福多少钱 超过四块钱的话我就要买蜜雪冰城了 ,2025-03-22 11:10:22+08:00,74,10,4,浙江,f
点个蜜雪冰城都要领券的一群人抵制上高珠了 ,2025-03-22 20:20:03+08:00,7,0,1,浙江,f
#315晚会# 可笑吗 蜜雪冰城被调查的时候我有多慌张 ,2025-03-22 20:19:42+08:00,0,0,0,广西,f
雪王高能量去桃园的一天🍑这桃子看着真好吃 #蜜雪冰城溯源# #蜜桃四季春# 蜜雪冰城 蜜雪冰城的微博视频 ,2025-03-22 18:00:01+08:00,57,20,4,河南,m
蜜雪冰城(旗舰店版) ,2025-03-22 20:18:45+08:00,0,2,0,山东,f
是不是因为西江千户苗寨房租成本太高了？可是没有客流的店好多啊，店员的目光都是呆滞和死气沉沉的。而且我的想法真的能代表大家吗？虽然游客很多，但是愿意花钱去做全身精油或者泰式按摩的有多少人，大家会买杯10元的蜜雪冰城，但也许不会花二线城市的正常价格去做全身按摩。这里就要考验广告学和心理 ...全文,2025-03-22 20:18:43+08:00,0,0,0,贵州,m
上一个中储粮，这次蜜雪冰城…,2025-03-22 20:18:25+08:00,0,0,0,河南,m
你爱我，我爱你，蜜雪冰城甜蜜蜜～ ,2025-03-22 20:18:09+08:00,0,0,0,浙江,f
一个偏远的商场，蜜雪冰城五个人都搞不赢 等十分钟了 ,2025-03-22 20:16:24+08:00,0,0,0,重庆,f
路过蜜雪冰城 消费一笔 ,2025-03-22 18:28:53+08:00,50,15,0,浙江,f
蜜雪冰城做得很好… 但其他怎么没… ,2025-03-21 23:09:31+08:00,5843,237,112,北京,f
蜜雪冰城改成24小时营业，315之后就有护短学生提出这个建议，没想到蜜雪冰城真采纳，现在没有隔夜柠檬了，只有熬夜的柠檬。  #蜜雪冰城被曝黑料网友凭啥护短##蜜雪冰城改24小时营业# ,2025-03-18 16:19:38+08:00,1383,57,27,湖北,m
雪王高能量去桃园的一天🍑这桃子看着真好吃 #蜜雪冰城溯源# #蜜桃四季春# 蜜雪冰城 蜜雪冰城的微博视频 ,2025-03-22 18:00:01+08:00,57,20,4,河南,m
你们说， 蜜雪冰城被媒体咬住不放， 会不会是因为…… ,2025-03-22 07:20:51+08:00,1661,94,384,上海,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5442,185,153,四川,f
什么叫良心？ 泰山顶上一瓶矿泉水都4块的时候， 蜜雪冰城冰鲜柠檬水才5块 ,2025-03-21 18:55:39+08:00,1531,83,37,广东,m
蜜雪冰城兼职三天喝了两杯奶茶被辞退了 ,2025-03-22 01:18:31+08:00,1196,43,110,湖南,m
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 现在店租太贵了，蜜雪冰城也不赚钱。我总说雪王日薪只有100，时薪才8块钱，还不包吃住；远不如去深圳进富士康，包吃住，时薪20多。很多人在评论区骂我，不信，那看看这个热搜吧。  当然，低时薪，低生育率，确实不能怪雪王，底商太少，店租太贵了！一起呼吁增 ...全文,2025-03-22 10:25:34+08:00,4,3,1,北京,m
蜜雪冰城被曝用隔夜柠檬？网友却都集体护犊子？ 报姐的微博视频 ,2025-03-21 17:26:22+08:00,32,2,5,山东,f
【浙江宣传：#蜜雪冰城为什么会被共情#】浙江宣传发布文章，谈#蜜雪冰城应该被共情吗#？有媒体在“3·15特别报道”中曝光，湖北宜昌一家蜜雪冰城门店存在使用隔夜食材和后厨卫生等问题。可令人意外的是，与近期的黄焖鸡回收剩菜、“保水虾仁”、翻新卫生巾等问题相比，消费者却对蜜雪冰城展现出了 ...全文,2025-03-21 09:52:56+08:00,290,37,110,,m
live~ life~ 爸爸削的猕猴桃 翘边的头发 好吃的鱼粉 一个人三杯的蜜雪冰城爽 夕阳下的爸爸妈妈 妈妈的草莓蛋糕 超级好看的生日礼物包包和耳钉(已想好怎么搭配版  酒店放的金榜题名祝福(真有心喜欢！ 秀美甲(其实是不舍得洗脸妆太好看想自拍 好吃的淀粉肠学校门口的既加辣椒酱又加番茄酱的最好吃！ 我的 ...全文,2025-03-22 20:57:23+08:00,0,0,0,江西,f
感觉被这个世界绑架了 水溶C为什么要五块钱一瓶 我为什么不去买蜜雪冰城 ,2025-03-22 20:56:13+08:00,0,0,0,湖北,f
周末了，话说你们觉得现在的工作咋样？ 评论抽2个粉丝喝蜜雪冰城~ 大家都好好休息休息吧~ ,2025-03-21 22:50:06+08:00,68,125,8,上海,m
蜜雪冰城凭什么上了香芋味雪糕就没有原味了 气死我了还我原味 ,2025-03-22 20:54:48+08:00,1,2,0,广东,m
今晚庄寒雁真的好给力，真想带大家揭竿而起了呀，她拿着那个烛台的样子，还真的很像蜜雪冰城 ,2025-03-22 20:33:30+08:00,189,20,1,福建,f
#生活手记# 雪王小圣代（草莓味） ,2025-03-22 20:53:05+08:00,1,0,0,山西,f
果然有瑞幸的地方必有蜜雪 ,2025-03-22 20:51:57+08:00,0,1,0,江苏,f
恭喜这几位中了蜜雪冰城的朋友 ,2025-03-22 20:50:51+08:00,14,5,0,福建,f
全款拿下两杯蜜雪 ,2025-03-22 20:48:55+08:00,0,0,0,河南,f
我也是终于吃上了蜜雪冰城这个紫色甜筒尊嘟超好吃 ,2025-03-22 20:48:37+08:00,1,0,0,甘肃,m
我也是终于吃上了蜜雪冰城这个紫色甜筒尊嘟超好吃 ,2025-03-22 20:48:37+08:00,1,1,0,甘肃,m
一下午拍的密密麻麻密密麻麻，回去慢慢选 路口全是格格还有格格骑自行车🚲 没啥合影还衣服前恰一张 蜜雪冰城人多的要打起来了 铜锅好吃！ ,2025-03-22 20:48:25+08:00,0,0,0,北京,f
你爱我我爱你蜜雪冰城甜蜜蜜ʕっ•ᴥ•ʔつ🍯🍯🍯 南通·平潮镇便民服务中心 ,2025-03-22 20:47:28+08:00,0,0,0,江苏,m
今天开心的三件小事 1.又培养了一个摄影搭子 2.蜜雪冰城小哥送了我一个甜筒 3.足浴的小姐姐说我的胳膊和背一看就是健身的，已经被好几个朋友和师妹说年轻了，问我是不是00后行，被夸美了 无锡·南禅寺 ,2025-03-22 20:46:03+08:00,0,0,0,江苏,f
终于不用喝蜜雪冰城了…… ,2025-03-22 20:45:43+08:00,0,0,0,湖北,m
昨天有条抽奖的微博被夹了，没法抽了。  所以，这里重新做一个抽奖博。  要求改成：①评论；②铁粉。  明晚8点开。  还是蜜雪小甜水，25杯。 ,2025-03-22 20:32:17+08:00,16,40,3,北京,m
你们说， 蜜雪冰城被媒体咬住不放， 会不会是因为…… ,2025-03-22 07:20:51+08:00,1665,94,386,上海,m
#春天是冰淇淋的季节# #蜜雪冰城香芋# 蜜雪冰城,2025-03-22 20:44:50+08:00,0,0,0,山东,f
蜜雪冰城故意跳单是啥意思？ ,2025-03-22 20:44:25+08:00,0,1,0,浙江,m
有人硬要🈷️一下我吗 我想🈷️点人 心肝在置顶 这个入要🈷️@桃浦椰酥饼干  她也要@年年叙ayy_   带这群入兜风一下@荆烧貓少 @年年叙ayy_ @祺什么尼 @面包起司狗 @要走出小胡同@耶耶乐了 @缺点维生鼠_  @油饼就吃 @一口吞掉糯米饭  🧱抽一个蜜雪冰城香芋冰淇淋 ,2025-03-22 20:17:52+08:00,12,69,30,湖南,f
蜜雪家的圣代谁不吃谁后悔我就这么说吧 ,2025-03-22 20:42:56+08:00,0,1,0,河南,f
#一天喝了四杯奶茶#  回到家就只能喝蜜雪 上街随便逛逛买了两杯 临走时回家又买了两杯 现在吃完饭躺床上左手果茶 右手奶茶🧋 蜜雪我对你这么好 你拿什么还 ,2025-03-22 20:42:54+08:00,0,1,0,安徽,f
以前不买蜜雪冰城的，这么一看高低得买一杯,2025-03-22 20:42:38+08:00,0,0,0,上海,f
我这杯冰鲜柠檬水为啥只有2片柠檬啊#蜜雪冰城# ,2025-03-22 20:42:38+08:00,0,0,0,江西,m
蜜雪店里人比平常多，挺好，无耻的媒体开始输了。 ,2025-03-22 20:41:35+08:00,9,1,0,北京,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5446,185,153,四川,f
很明显，那些疯狂撕咬的，就是冲着这个去的呗，要不然就🍋隔夜，至于么,2025-03-22 20:19:39+08:00,447,47,105,北京,m
一梦江湖 下午刷到有一位少侠跑了三家蜜雪冰城都没有找到香芋脆皮小圣代，一下子就被狠狠安利了！已尝试，敲好吃！适用于喜欢吃香芋味的少侠 ,2025-03-22 20:39:16+08:00,2,3,0,安徽,f
一下课就是香芋甜筒配KFC 我爱蜜雪冰城的香芋甜筒 不用上课啦 风都是甜的 养成了吃东西前先拍照 ,2025-03-22 20:38:25+08:00,0,0,0,安徽,f
刚路过楼下蜜雪冰城。我妈说装修好喜庆，像搞婚庆活动似的，坐里面像新娘👰。（这回答太出乎我的意料了，就是忘了拍一张） 哈哈哈 ,2025-03-22 20:38:24+08:00,0,0,0,陕西,f
一梦江湖 下午刷到有一位少侠跑了三家蜜雪冰城都没有找到香芋脆皮小圣代，一下子就被狠狠安利了！已尝试，敲好吃！适用于喜欢吃香芋味的少侠 ,2025-03-22 20:39:16+08:00,2,3,0,安徽,f
一下课就是香芋甜筒配KFC 我爱蜜雪冰城的香芋甜筒 不用上课啦 风都是甜的 养成了吃东西前先拍照 ,2025-03-22 20:38:25+08:00,0,0,0,安徽,f
刚路过楼下蜜雪冰城。我妈说装修好喜庆，像搞婚庆活动似的，坐里面像新娘👰。（这回答太出乎我的意料了，就是忘了拍一张） 哈哈哈 ,2025-03-22 20:38:24+08:00,0,0,0,陕西,f
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 无论你们怎么麦通稿黑雪王，他都不会塌房，有群众基础在，315到现在这么久了，用315的名恶意抹黑雪王，315没提过半点，你们什么算盘不用说了吧。蜜雪冰城 萌萌哒红色小象的微博视频 ,2025-03-22 10:35:39+08:00,81,17,0,安徽,f
被cctv 315晚会安利成功了蜜雪冰城！好喝的！ ,2025-03-22 20:36:57+08:00,0,0,0,浙江,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,108,41,2,辽宁,f
#蜜雪冰城# 为什么最近这店哪哪都爆单 LJBLJBLJBLJBLJBLJB的微博视频 ,2025-03-22 20:35:54+08:00,0,0,0,广东,f
蜜雪冰城给的真的越来越少了膨胀了啊小雪 ,2025-03-22 20:34:13+08:00,0,1,0,海南,f
蜜雪冰城在焦作建了一个占地550亩的产业园区，名字还是很土——”大咖国际茶饮梦工厂”。  在这里，游客可以全程参观”糖奶茶咖果粮料”7大核心品类原料生产过程，可以看到在数字化智能车间里，工业机器人有序工作在产能数万吨的生产线上，质检工作人员“悠闲操作”，对机器的工作成果进行二次人工核验 ...全文,2025-03-22 07:05:16+08:00,143,15,40,上海,m
回国要尽快做的事： 1，看哪吒2 2，给全家人买蜜雪冰城，然后艾特北京日报。 ,2025-03-22 18:43:31+08:00,47,11,1,上海,m
没事干，想着去蜜雪冰城兼职，结果两天半的时间自己做了两杯奶茶喝，被同事打小报告了，然后就被店长找了个理由辞退了 ,2025-03-22 20:21:58+08:00,23,6,0,山东,f
